feature_ind,sketch_id
153,0304-a93c4bf1-c4f9-46e4-b8a1-dd2359a31933_rabbit_2_2_shape_rabbit_2_013
154,0304-a93c4bf1-c4f9-46e4-b8a1-dd2359a31933_rabbit_3_23_shape_rabbit_3_003
155,0304-a93c4bf1-c4f9-46e4-b8a1-dd2359a31933_rabbit_4_30_shape_rabbit_4_034
156,0304-a93c4bf1-c4f9-46e4-b8a1-dd2359a31933_rabbit_5_9_shape_rabbit_5_030
157,0304-a93c4bf1-c4f9-46e4-b8a1-dd2359a31933_rabbit_6_26_shape_rabbit_6_041
158,0304-a93c4bf1-c4f9-46e4-b8a1-dd2359a31933_rabbit_7_17_shape_rabbit_7_017
159,0304-a93c4bf1-c4f9-46e4-b8a1-dd2359a31933_rabbit_8_13_shape_rabbit_8_040
160,0532-734dfb32-c173-48df-bfa2-0decb357302b_bear_1_4_number_bear_1_087
161,0532-734dfb32-c173-48df-bfa2-0decb357302b_bear_2_5_number_bear_2_036
162,0532-734dfb32-c173-48df-bfa2-0decb357302b_bear_3_31_number_bear_3_044
163,0532-734dfb32-c173-48df-bfa2-0decb357302b_bear_4_19_number_bear_4_081
164,0532-734dfb32-c173-48df-bfa2-0decb357302b_bear_5_14_number_bear_5_083
165,0532-734dfb32-c173-48df-bfa2-0decb357302b_bear_6_11_number_bear_6_001
166,0532-734dfb32-c173-48df-bfa2-0decb357302b_bear_7_28_number_bear_7_033
167,0532-734dfb32-c173-48df-bfa2-0decb357302b_bear_8_23_number_bear_8_026
168,0532-734dfb32-c173-48df-bfa2-0decb357302b_deer_1_16_number_deer_1_060
169,0532-734dfb32-c173-48df-bfa2-0decb357302b_deer_2_12_number_deer_2_096
170,0532-734dfb32-c173-48df-bfa2-0decb357302b_deer_3_1_number_deer_3_032
171,0532-734dfb32-c173-48df-bfa2-0decb357302b_deer_4_32_number_deer_4_064
172,0532-734dfb32-c173-48df-bfa2-0decb357302b_deer_5_21_number_deer_5_000
173,0532-734dfb32-c173-48df-bfa2-0decb357302b_deer_6_18_number_deer_6_002
174,0532-734dfb32-c173-48df-bfa2-0decb357302b_deer_7_6_number_deer_7_063
175,0532-734dfb32-c173-48df-bfa2-0decb357302b_deer_8_26_number_deer_8_037
176,0532-734dfb32-c173-48df-bfa2-0decb357302b_owl_1_20_number_owl_1_085
177,0532-734dfb32-c173-48df-bfa2-0decb357302b_owl_2_24_number_owl_2_037
178,0532-734dfb32-c173-48df-bfa2-0decb357302b_owl_3_9_number_owl_3_049
179,0532-734dfb32-c173-48df-bfa2-0decb357302b_owl_4_8_number_owl_4_005
180,0532-734dfb32-c173-48df-bfa2-0decb357302b_owl_5_29_number_owl_5_014
181,0532-734dfb32-c173-48df-bfa2-0decb357302b_owl_6_25_number_owl_6_036
