,iterationName,gameID,trialNum,trialStartTime,submitTime,clickedTime,confirmTime,totalTrialDuration,PT,RT,cardinality,clicked,correct,score,symbols,symbolsProcess,targetLoc,d1,d2,messageLength,tokenRatio
59,run1,9838-da3885e8-773a-4253-8229-bd28dd512256,8,1639593324184.0,1639593329516.0,1639593332575.0,1639593333458.0,9.274,5.332,3.942,5,5,True,21,"[4, 1]","1639593329871:4,1639593330400:1",3,4,6,2,0.4
60,run1,0577-d0f9764e-a392-49e8-ad05-34cfb0c92275,7,1639593321908.0,1639593330619.0,1639593337223.0,1639593339308.0,17.4,8.711,8.689,6,6,True,9,[4],1639593326241:4,3,4,5,1,0.16666666666666666
61,run1,0109-d3e47dfb-f202-4c77-8950-a58d3d313e5e,3,1639593302144.0,1639593333119.0,1639593339441.0,1639593341342.0,39.198,30.975,8.223,13,13,True,3,[1],1639593340025:1,3,12,11,1,0.07692307692307693
62,run1,1910-999a012a-2df3-407f-9195-0d3ab6383c75,6,1639593330917.0,1639593335691.0,1639593337209.0,1639593337733.0,6.816,4.774,2.042,6,5,False,0,"[3, 3, 3]","1639593334819:3,1639593335006:3,1639593335172:3",3,7,5,3,0.5
63,run1,9549-c1f18c59-6c49-47ae-8896-f452feff6da5,5,1639593328885.0,1639593335830.0,1639593339441.0,1639593340454.0,11.569,6.945,4.624,3,3,True,3,[3],1639593335750:3,3,5,4,1,0.3333333333333333
64,run1,3639-b70f8243-5ebf-4ded-a53e-f4027dad69c2,11,1639593323946.0,1639593336980.0,1639593345456.0,1639593347117.0,23.171,13.034,10.137,3,4,False,18,[3],"1639593326576:4,1639593330772:del,1639593335579:3",1,4,5,1,0.3333333333333333
65,run1,2515-ce45844d-b4fd-4433-9d4f-5244bcd8c2b1,1,1639593323317.0,1639593339479.0,1639593347610.0,1639593352987.0,29.67,16.162,13.508,14,12,False,0,[1],1639593333119:1,2,12,13,1,0.07142857142857142
66,run1,6505-1441f682-c593-4bdf-ba56-86382ce58058,10,1639593333092.0,1639593340382.0,1639593342939.0,1639593344416.0,11.324,7.29,4.034,4,4,True,15,"[1, 1, 1, 1]","1639593338222:1,1639593338753:1,1639593339062:1,1639593339348:1",2,3,5,4,1.0
67,run1,0100-0250f292-3528-41a0-9ef3-f871d00ec234,6,1639593315414.0,1639593342099.0,1639593353077.0,1639593353724.0,38.31,26.685,11.625,12,12,True,15,"[4, 4, 4]","1639593327335:4,1639593327649:4,1639593328239:4",3,13,14,3,0.25
68,run1,4980-5c8ed6af-41f5-4cdb-a5b1-02ad7374d5e0,2,1639593320187.0,1639593344145.0,1639593368466.0,1639593369381.0,49.194,23.958,25.236,9,10,False,0,"[1, 2, 4]","1639593348849:1,1639593349462:2,1639593350227:4",3,10,8,3,0.3333333333333333
69,run1,9838-da3885e8-773a-4253-8229-bd28dd512256,9,1639593335461.0,1639593344353.0,1639593348286.0,1639593349231.0,13.77,8.892,4.878,7,7,True,24,"[3, 3, 1]","1639593344550:3,1639593344747:3,1639593345386:1",1,8,6,3,0.42857142857142855
70,run1,1910-999a012a-2df3-407f-9195-0d3ab6383c75,7,1639593339736.0,1639593345060.0,1639593350042.0,1639593350677.0,10.941,5.324,5.617,13,14,False,0,"[1, 1]","1639593344449:1,1639593344570:1",2,14,12,2,0.15384615384615385
71,run1,9405-503c0c48-b1d9-49d8-9da2-86a208ab837c,6,1639593327516.0,1639593345483.0,1639593356225.0,1639593357189.0,29.673,17.967,11.706,10,10,True,15,"[2, 3, 1, 3, 1]","1639593336444:2,1639593337559:3,1639593339652:1,1639593340977:3,1639593342228:1",2,8,9,5,0.5
72,run1,0577-d0f9764e-a392-49e8-ad05-34cfb0c92275,8,1639593341313.0,1639593347756.0,1639593361908.0,1639593367508.0,26.195,6.443,19.752,4,3,False,12,[3],1639593346135:3,2,3,5,1,0.25
73,run1,0109-d3e47dfb-f202-4c77-8950-a58d3d313e5e,4,1639593343344.0,1639593350832.0,1639593365361.0,1639593367101.0,23.757,7.488,16.269,2,3,False,6,[2],1639593357158:2,3,3,1,1,0.5
74,run1,9549-c1f18c59-6c49-47ae-8896-f452feff6da5,6,1639593342458.0,1639593354637.0,1639593361736.0,1639593363680.0,21.222,12.179,9.043,14,14,True,6,[4],1639593354833:4,2,12,13,1,0.07142857142857142
75,run1,1910-999a012a-2df3-407f-9195-0d3ab6383c75,8,1639593352681.0,1639593356407.0,1639593358800.0,1639593359382.0,6.701,3.726,2.975,4,3,False,0,[1],1639593355426:1,1,5,3,1,0.25
76,run1,3639-b70f8243-5ebf-4ded-a53e-f4027dad69c2,12,1639593349118.0,1639593356962.0,1639593362177.0,1639593363417.0,14.299,7.844,6.455,12,14,False,18,[4],1639593355594:4,1,14,13,1,0.08333333333333333
77,run1,9838-da3885e8-773a-4253-8229-bd28dd512256,10,1639593351234.0,1639593359770.0,1639593366619.0,1639593367508.0,16.274,8.536,7.738,12,12,True,27,"[4, 4, 4]","1639593360230:4,1639593360490:4,1639593360761:4",1,11,13,3,0.25
78,run1,5157-3d1a9fad-c10e-4a00-8c24-a22868d60b2d,5,1639593339478.0,1639593362956.0,1639593376116.0,1639593380547.0,41.069,23.478,17.591,11,11,True,9,"[3, 2, 2, 2, 2]","1639593222551:3,1639593225000:2,1639593226333:2,1639593229032:2,1639593229331:2",1,10,12,5,0.45454545454545453
79,run1,6505-1441f682-c593-4bdf-ba56-86382ce58058,11,1639593346424.0,1639593363570.0,1639593382800.0,1639593383812.0,37.388,17.146,20.242,14,14,True,18,"[1, 2, 3, 1, 2, 2, 1, 1, 1]","1639593355051:1,1639593355722:2,1639593357114:3,1639593357911:1,1639593358893:2,1639593360007:2,1639593362088:1,1639593362396:1,1639593362603:1",3,13,15,9,0.6428571428571429
80,run1,1910-999a012a-2df3-407f-9195-0d3ab6383c75,9,1639593361387.0,1639593366301.0,1639593367879.0,1639593368449.0,7.062,4.914,2.148,3,3,True,0,"[1, 1, 1]","1639593365548:1,1639593365716:1,1639593365944:1",2,2,1,3,1.0
81,run1,9405-503c0c48-b1d9-49d8-9da2-86a208ab837c,7,1639593359194.0,1639593368891.0,1639593371797.0,1639593372593.0,13.399,9.697,3.702,5,5,True,18,"[2, 3]","1639593365258:2,1639593366340:3",3,4,6,2,0.4
82,run1,0100-0250f292-3528-41a0-9ef3-f871d00ec234,7,1639593355727.0,1639593369860.0,1639593386045.0,1639593386749.0,31.022,14.133,16.889,13,13,True,18,"[4, 4, 3, 2]","1639593365510:4,1639593365792:4,1639593368330:3,1639593369050:2",2,12,14,4,0.3076923076923077
83,run1,3639-b70f8243-5ebf-4ded-a53e-f4027dad69c2,13,1639593365426.0,1639593371417.0,1639593376836.0,1639593378025.0,12.599,5.991,6.608,10,12,False,18,[4],1639593369969:4,1,12,11,1,0.1
